car-id,overnightstay
20154301124328-262,no
20153101013141-937,no
20155201025212-846,no
20155301025312-741,no
20150101030146-497,no
20153701033700-323,no
20154001034019-109,no
20152901052958-57,no
20154201054201-550,no
20154901054932-304,no
20151701061719-611,no
20155101065139-549,yes
20152001072049-523,no
20153601073650-751,yes
20155201075209-669,yes
20151001081035-840,no
20151301081324-366,no
20152101082156-552,no
20152701082731-176,no
20153601093644-33,yes
20155201095259-137,yes
20153201103200-582,no
20153501103520-243,no
20153601103632-930,no
20154401104416-538,yes
20155701105733-580,yes
20155801105820-248,yes
20151301111352-990,no
20152401012401-945,no
20152501012546-952,no
20152501012557-10,yes
20153601013616-849,no
20150801020850-865,yes
20153401033430-345,yes
20154101034146-410,no
20154801034809-529,no
20150101040141-397,no
20154001044056-714,yes
20155401045441-227,yes
20150101060136-731,no
20152601072603-870,no
20155201075206-349,no
20154301114306-910,yes
20151302121334-985,no
20155502025544-979,no
20150502040512-565,no
20152802052806-928,no
20152102062100-389,yes
20155202065206-711,yes
20150602070649-231,no
20151402071449-545,no
20151602071621-654,no
20154002074031-133,yes
20155202075207-398,no
20155502075522-491,no
20151202081232-209,no
20154302084310-559,no
20154702084758-168,yes
20150502090541-904,no
20151902111913-640,yes
20155602115634-803,no
20150302010312-760,no
20152602012639-340,yes
20153002013028-298,yes
20151202021230-956,yes
20153602023647-120,yes
20155302025352-365,no
20152002042015-193,yes
20154102044113-988,yes
20154602044612-82,yes
20154802044825-624,no
20151602071627-36,no
20151902071923-16,no
20150002080040-921,no
20152102082141-406,no
20153002083021-292,no
20150802110852-346,no
20151003121025-950,no
20151703121720-618,no
20152503012502-560,no
20150903020928-497,no
20154003044005-17,no
20155003055049-24,no
20155403055443-412,no
20155703055759-583,no
20151403061425-243,no
20154003064055-201,no
20155103065157-254,no
20155803065823-477,no
20151903071934-939,yes
20153603073614-148,yes
20154003074050-280,yes
20150903080915-957,no
20154303084322-126,no
20151503091545-22,yes
20150303100343-74,yes
20153203103200-611,yes
20153703103702-660,no
20153903103918-43,no
20155303105327-375,no
20155803105858-900,yes
20150703110736-237,yes
20151803121817-229,no
20150403020416-490,no
20153003023054-91,yes
20152503032527-873,yes
20153103033157-551,no
20153203033246-681,yes
20153203033255-977,yes
20155003035017-260,yes
20155103035116-592,yes
20155803035851-140,no
20150803050829-770,yes
20151103051105-693,no
20154803054807-805,no
20155403055431-257,yes
20154803064813-28,no
20155203065209-82,no
20151203081248-820,no
20152803082805-619,no
20154403084410-270,no
20155903115957-556,yes
20151704021745-210,no
20153704023750-346,no
20154804054851-733,no
20150704060747-94,no
20150804070850-234,no
20152104072125-25,no
20153404073436-211,no
20155304075353-452,no
20151304091319-319,no
20152904102929-831,yes
20153504103546-744,yes
20153604113610-711,yes
20155304115351-36,no
20151604011635-266,yes
20154304014359-573,no
20155704015750-993,no
20150204020258-450,yes
20154004024058-952,no
20155404025425-846,yes
20150604030648-583,no
20155404035404-301,no
20155604035654-479,yes
20152204042233-205,no
20150104050128-43,yes
20152404052454-27,yes
20151504061538-491,no
20151204071251-825,no
20154804074827-231,no
20150204080227-619,no
20151804101823-786,no
20151904111928-259,no
20152904112957-341,no
20155205125210-970,no
20152405012441-733,no
20150505020522-625,no
20151705031703-749,no
20151805061831-133,yes
20152905062953-731,yes
20153305073332-375,no
20155305075355-395,no
20150105080156-835,no
20150205080233-879,no
20152705082700-328,yes
20153305083306-650,no
20155705085752-232,no
20150905090932-101,yes
20154205094230-49,no
20154305094348-630,yes
20154105104122-644,yes
20155305105337-96,no
20153105123101-248,no
20155705125721-407,yes
20150405010436-416,no
20151305011343-613,no
20153705013742-751,no
20151905021902-720,yes
20153405023441-79,no
20150605040618-478,yes
20152105042140-626,no
20153705043758-335,no
20150505050508-318,no
20154105054102-171,no
20152005062002-300,no
20151205071201-727,no
20152305082333-92,no
20151905101914-783,no
20155705105749-356,no
20152006012006-635,no
20152106012143-868,no
20155606025608-621,no
20152406032402-937,no
20152506042502-26,no
20152606062618-786,yes
20154106074104-999,no
20154506074517-446,yes
20154606074616-822,no
20155106075153-120,no
20155006085003-110,no
20150506090520-357,no
20154106094124-665,no
20155006095026-111,yes
20155106095135-527,no
20151606101600-597,no
20151806101842-841,no
20153006113031-795,no
20154006114047-586,no
20153206123228-826,no
20154406124402-983,no
20150206010230-163,no
20153806013838-97,no
20153906013912-384,yes
20154706014752-824,yes
20152106022153-516,no
20155806025837-218,no
20150006030021-893,no
20150706030713-770,no
20151006031050-832,yes
20151406031406-139,no
20152206042215-304,no
20153606043644-52,no
